date,value
1924,114.11
1925,115.83
1926,117.40
1927,119.04
1928,120.51
1929,121.77
1930,123.08
1931,124.04
1932,124.84
1933,125.58
1934,126.37
1935,127.25
1936,128.05
1937,128.82
1938,129.82
1939,130.88
1940,132.12
1941,133.40
1942,134.86
1943,136.74
1944,138.40
1945,139.93
1946,141.39
1947,144.13
1948,146.63
1949,149.19
1950,152.27
1951,154.88
1952,157.55
1953,160.18
1954,163.03
1955,165.93
1956,168.90
1957,171.98
1958,174.88
1959,177.83
1960,180.67
1961,183.69
1962,186.54
1963,189.24
1964,191.89
1965,194.30
1966,196.56
1967,198.71
1968,200.71
1969,202.68
1970,205.05
1971,207.66
1972,209.90
1973,211.91
1974,213.85
1975,215.97
1976,218.04
1977,220.24
1978,222.59
1979,225.06
1980,227.23
1981,229.47
1982,231.66
1983,233.79
1984,235.83
1985,237.92
1986,240.13
1987,242.29
1988,244.50
1989,246.82
1990,249.62
1991,252.98
1992,256.51
1993,259.92
1994,263.13
1995,266.28
1996,269.39
1997,272.66
1998,275.85
1999,279.04
2000,282.17
2001,285.08
2002,287.80
2003,290.33
2004,293.05
2005,295.56
2006,298.36
2007,301.23
2008,304.09
2009,306.77
2010,309.33
2011,311.58
2012,313.87
2013,316.06
2014,318.39
2015,320.74
2016,323.07
2017,325.12
2018,326.84